"Pos";"Age";"Tm";"G";"GS";"MP";"X3P.";"X2P";"X2PA";"X2P.";"FT";"FTA";"FT.";"ORB";"DRB";"TRB";"AST";"STL";"BLK";"TOV";"PF";"PTS"
"SF";24;"CLE";65;65;29.4;38.3;2.2;4.4;49.7;1;1.4;67;0.6;3;3.6;2.4;0.8;0.2;1.4;2.5;11
"SF";24;"PHO";56;55;34.5;35.2;4.7;9.3;51.1;3.4;4.4;78;1.2;5.3;6.4;1.5;1.3;0.7;1.5;3.4;18.7
"PF";24;"PHO";3;0;5;0;0.3;1;33.3;0.7;0.7;100;0.7;0.3;1;0;0.3;0;0;0.3;1.3
"PG";33;"GSW";3;0;14.7;42.9;2.7;5;53.3;0;0.3;0;0.3;0.7;1;2.7;0.3;0;1.3;2.7;8.3
"PF";24;"TOT";38;23;24.1;26.9;4.9;8.2;60.3;1.6;2.1;75.3;1.6;4;5.6;1.8;1.2;0.4;1.7;2.6;14
"PF";24;"ATL";32;23;26.2;27;5.2;8.7;60.1;1.7;2.3;73.6;1.7;4.3;6;1.8;1.3;0.5;1.9;2.9;15
"PF";24;"SAC";6;0;13.3;25;3.3;5.3;62.5;1.3;1.5;88.9;1.2;2.7;3.8;1.7;0.5;0.2;0.7;1;8.5
"SF";31;"ATL";5;0;10.8;28.6;0.2;0.8;25;0;0;NA;0.2;1.2;1.4;0.6;0.8;0.2;0.6;0.6;2.8
"PF";23;"GSW";60;26;27.6;28.7;4.7;8.5;55;2.7;3.5;77.4;1.4;3.2;4.6;2.1;0.5;0.2;1.6;2.1;14
"PF";30;"LAC";59;18;13.2;39;0.5;1;45.9;0.6;0.7;81.4;0.6;2;2.6;0.7;0.1;0.1;0.4;0.9;4.9
"C";22;"OKC";5;0;4.8;25;0.6;1.2;50;0;0;NA;0.2;0.8;1;0.4;0;0;0.4;0.8;1.8
"PG";34;"OKC";70;70;31.5;36.5;4.6;8.3;55.4;3.6;4;90.7;0.4;4.6;5;6.7;1.6;0.2;2.3;2.3;17.6
"PG";25;"PHO";8;0;22.9;51.7;2.3;4.9;46.2;0.8;0.9;85.7;0.5;3.4;3.9;3;1;0.3;1.4;2.5;10.9
"PG";25;"NYK";45;36;27.7;20.3;4;8.2;48.2;1.1;1.9;57;1.2;3.6;4.7;7.2;1.6;0.4;2.1;2;10
"PG";27;"WAS";29;17;14.9;28.3;1.2;2.4;50;0.1;0.3;50;0.9;1.9;2.8;1.7;1.1;0.2;0.7;1.9;3.9
"C";26;"PHI";24;0;9.7;0;1;2;53.2;0.3;0.6;50;0.8;2.2;3;0.3;0.1;1.3;0.8;2.3;2.4
